0, 0
64, 1
109, 2
151, 3
180, 4
210, 5
232, 6
258, 7
278, 8
302, 9
320, 10
341, 11
359, 12
380, 13
397, 14
417, 15
434, 16
453, 17
470, 18
487, 19
503, 20
520, 21
535, 22
553, 23
568, 24
585, 25
599, 26
616, 27
632, 28
648, 29
663, 30
680, 31
695, 32
713, 33
727, 34
745, 35
760, 36
777, 37
791, 38
809, 39
823, 40
840, 41
855, 42
872, 43
887, 44
904, 45
918, 46
935, 47
948, 48
965, 49
980, 50
996, 51
1011, 52
1027, 53
1041, 54
1058, 55
1072, 56
1088, 57
1103, 58
1119, 59
1133, 60
1150, 61
1163, 62
1179, 63
1194, 64
1210, 65
1225, 66
1241, 67
1255, 68
1273, 69
1287, 70
1304, 71
1319, 72
1335, 73
1350, 74
1368, 75
1382, 76
1399, 77
1413, 78
1430, 79
1444, 80
1461, 81
1475, 82
1492, 83
1507, 84
1524, 85
1538, 86
1554, 87
1569, 88
1585, 89
1598, 90
1615, 91
1629, 92
1645, 93
1660, 94
1675, 95
1689, 96
1706, 97
1720, 98
1736, 99
1750, 100
1765, 101
1780, 102
1796, 103
1813, 104
1833, 105
1853, 106
1878, 107
1903, 108
1937, 109
1977, 110
